source	target	note
Finance Manager	財務經理	full-corpus-half-b
130	130	full-corpus-half-b
Enemy Unit	敵方單位	full-corpus-half-b
The steady sounds of clip-clopping hooves pulling creaking carriages will be absent from the streets in Chicago starting next year after the City Council on Friday voted to ban horse-drawn carriages.


Under the ordinance, which is effective Jan. 1, 2021, operators will be unable to renew their licenses, and the city will stop issuing new ones.


The horse-drawn carriage industry has been shrinking for years. The city now has 10 carriage licenses that will expire at the end of the year, The Chicago Tribune reported. At one point, it had 60 licenses available, according to The Associated Press.	芝加哥市議會於週五投票通過禁止馬車行駛，自明年起，芝加哥街頭將不再有馬蹄敲擊路面與馬車嘎吱作響的聲音。


根據該條例，自2021年1月1日起生效，營運商將無法續簽執照，市政府也將停止核發新執照。


據《芝加哥論壇報》報導，馬車產業多年來一直在萎縮。目前該市僅剩10張馬車執照將於年底到期。據美聯社報導，該市曾一度提供60張執照。	full-corpus-half-b
Autosave	自動儲存	full-corpus-half-b
Pedram Mashouf	佩德拉姆·馬舒夫	full-corpus-half-b
Chief Strategist
Ministry of Design and Writing	首席策略師
設計與編劇部	full-corpus-half-b
Commission for Fair Trade and Competition	公平貿易與競爭委員會	full-corpus-half-b
Get full access to all story packs for 1 day, ad-free.	獲取 1 天所有故事包的完整訪問權限，且無廣告。	full-corpus-half-b
1230	1230	full-corpus-half-b
Ministry of Human Resources and 
Administration	人力資源與行政部	full-corpus-half-b
Lighting	光照	full-corpus-half-b
Josh Hardy	Josh Hardy	full-corpus-half-b
Casey Braden	Casey Braden	full-corpus-half-b
There is already an active scene.	已有活動場景。	full-corpus-half-b
Naro	Naro	full-corpus-half-b
Between 1954-1958	1954-1958 年間	full-corpus-half-b
Air drop a paratrooper	空投傘兵	full-corpus-half-b
Jan Bąk	Jan Bąk	full-corpus-half-b
The Crown orders the establishment of a state-of-the-art bomber jet factory in Jales, within Brenas province. Specializing in the production of advanced bombers, the facility will significantly enhance the Kingdom’s offensive air capabilities. These bombers are designed for precision strikes on both land and sea targets, ensuring strategic dominance in future operations.

This decree strengthens the Kingdom’s military power, focusing on long-range strike capabilities and operational flexibility.	王室 下令在 布雷納斯 省內的 賈萊斯 建立一座最先進的轟炸機工廠。該設施專門生產先進的轟炸機，將顯著增強 王國 的進攻性空中能力。這些轟炸機專為對陸地和海上目標進行精確打擊而設計，確保在未來的行動中佔據戰略優勢。

該法令加強了 王國 的軍事力量，重點在於遠程打擊能力和作戰靈活性。	full-corpus-half-b
MALENYEVISM	馬爾內夫主義	full-corpus-half-b
Map Switch/Open Login Page	地圖切換/開啟登入頁面	full-corpus-half-b
Music Volume	音樂音量	full-corpus-half-b
23	23	full-corpus-half-b
6	6	full-corpus-half-b
+25	+25	full-corpus-half-b
Action Points	法案點數	full-corpus-half-b
Toggle whether unit stats should be displayed or not	切換是否顯示單位數據	full-corpus-half-b
Jimi Henriksson	吉米·亨里克森	full-corpus-half-b
Joni van der Leeuw	喬尼·范·德·列烏	full-corpus-half-b
Air Support	空中支援	full-corpus-half-b
250	250	full-corpus-half-b
Excavation of Topes Ancient Rezenid City
	挖掘 托佩斯 古代 雷澤尼德 城市
	full-corpus-half-b
Commission for Fair Trade Commission for Fa	公平貿易委員會公平貿易委員會	full-corpus-half-b
Ayan	阿揚	full-corpus-half-b
Restore Purchases	恢復購買	full-corpus-half-b
Jonathan Baker	Jonathan Baker	full-corpus-half-b
Sturtecen ely tuten inter ord dei Holsord	Sturtecen ely tuten inter ord dei 霍爾索德	full-corpus-half-b
You won't be able to change how Anton Rayne looks after starting the story.	開始故事後，您將無法更改 安東·雷恩 的外觀。	full-corpus-half-b
Brian Kelleher	Brian Kelleher	full-corpus-half-b
Apply	應用	full-corpus-half-b
Political Party:	政黨：	full-corpus-half-b
Finish 10 Actions	完成 10 個 法案	full-corpus-half-b
CHOOSE A PROFILE PICTURE	選擇頭像	full-corpus-half-b
<sprite name=currency>	<sprite name=currency>	full-corpus-half-b
Taha Batur Şenlİ	Taha Batur Şenlİ	full-corpus-half-b
Evolve Originals	Evolve Originals	full-corpus-half-b
asdasd	asdasd	full-corpus-half-b
Max Muehlen	Max Muehlen	full-corpus-half-b
Cabinet	內閣	full-corpus-half-b
Stijn Verstraete	斯泰恩·維斯特拉特	full-corpus-half-b
Next Entry	下一條目	full-corpus-half-b
Instreten sis er Anginicar av Moreigna ins Altmer ins Almergwolltene keserten..	Instreten sis er Anginicar av Moreigna ins Altmer ins Almergwolltene keserten..	full-corpus-half-b
- 20,000 HOS employees lost their jobs.
- More than 8000 people were arrested under charges for assisting Young Sords.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.
- Half a million women joined the workforce.
- 50,000 soldiers became unemployed.
- 238 people were killed.
- More than a million workers secured their rights under the new Workers Rights Act.
- Bludish crime decreased by 60%.	- 20,000名霍斯員工失去了工作。
- 超過8000人因協助青年蘇德蘭人的指控而被捕。
- 五十萬名女性加入了勞動力市場。
- 50,000名士兵失業。
- 238人死亡。
- 超過一百萬名工人在新的《勞工權利法案》下獲得了保障。
- 布魯德人犯罪率下降了60%。
- 五十萬名女性加入了勞動力市場。
- 50,000名士兵失業。
- 238人死亡。
- 超過一百萬名工人在新的《勞工權利法案》下獲得了保障。
- 布魯德人犯罪率下降了60%。	full-corpus-half-b
FC ANRICA CUP	安瑞卡盃 (FC ANRICA CUP)	full-corpus-half-b
History will remember you as a...	歷史將會銘記你是一位...	full-corpus-half-b
Šimon Škvára	西蒙·什克瓦拉	full-corpus-half-b
VerylongusernameVerylongusername	VerylongusernameVerylongusername	full-corpus-half-b
CHOOSE A POLITICAL AFFILIATION	選擇政治傾向	full-corpus-half-b
NOTABLE MEMBERS	重要成員	full-corpus-half-b
SOLLISM	索爾主義	full-corpus-half-b
You haven't finished the Main Story.
Starting a DLC Story will automatically generate a default save file for the main story. Are you sure you want to continue?	您尚未完成主線故事。
開始 DLC 故事將會自動為您的主線故事產生一個預設存檔。您確定要繼續嗎？	full-corpus-half-b
SwanKing	斯旺國王	full-corpus-half-b
€0.99	€0.99	full-corpus-half-b
Negotiating Power	談判能力	full-corpus-half-b
ACHIEVEMENTS:	成就：	full-corpus-half-b
High	高	full-corpus-half-b
Maria Bilo	瑪麗亞·比洛	full-corpus-half-b
James Spence	詹姆斯·斯彭斯	full-corpus-half-b
Continue with Google	使用 Google 繼續	full-corpus-half-b
Zysco	Zysco	full-corpus-half-b
E-Mail Address	電子郵件地址	full-corpus-half-b
You are currently playing as a guest.
Login to use your Suzerain profile across devices.	您目前以訪客身份進行遊戲。
登入以在不同裝置間使用您的《Suzerain》個人檔案。	full-corpus-half-b
If the email is found, you will receive an email shortly.	若找到該電子郵件地址，您很快就會收到一封郵件。	full-corpus-half-b
Tung Thanh Cao	Tung Thanh Cao	full-corpus-half-b
Ministry of Writing
	部 寫作
	full-corpus-half-b
SFX Volume	音效音量	full-corpus-half-b
Ministry of Writing and Design	部寫作與設計	full-corpus-half-b
Simple Peasant	普通農民	full-corpus-half-b
Delete Analytics Data	刪除分析數據	full-corpus-half-b
Back to Login	返回登入	full-corpus-half-b
Artic Z.	Artic Z.	full-corpus-half-b
Analytics Consent	分析數據同意	full-corpus-half-b
To access this page, please reconnect to the internet.	若要存取此頁面，請重新連線至網際網路。	full-corpus-half-b
Train	訓練	full-corpus-half-b
Go to Location	前往地點	full-corpus-half-b
Delete	刪除	full-corpus-half-b
Torpor Mode Disabled	Torpor 模式已停用	full-corpus-half-b
<size=19>(Press)</size> Gamepad Menu	<size=19>(按下)</size> 遊戲手把選單	full-corpus-half-b
Story Packs	劇情包	full-corpus-half-b
Enemy Turn	敵方回合	full-corpus-half-b
Yaroslav Bakhmutov	Yaroslav Bakhmutov	full-corpus-half-b
OR	或	full-corpus-half-b
Graphics	圖形	full-corpus-half-b
Alison Nieman	Alison Nieman	full-corpus-half-b
Elected In:	當選於：	full-corpus-half-b
STATUS	狀態	full-corpus-half-b
ENACTED	已頒布	full-corpus-half-b
Profile Name already exists.	個人檔案名稱已存在。	full-corpus-half-b
<color=#F6E09C><size=51>0</size></color><color=#AFADAD><size=32>/0</size></color>	<color=#F6E09C><size=51>0</size></color><color=#AFADAD><size=32>/0</size></color>	full-corpus-half-b
Cancel Training	取消訓練	full-corpus-half-b
Passwords need to match.	密碼必須相符。	full-corpus-half-b
Use Story Points to start or continue playing a story. 

Earn more by watching ads, leveling up, and completing in-game actions.	使用劇情點數來開始或繼續遊玩劇情。

透過觀看廣告、升級以及完成遊戲內行動來賺取更多點數。	full-corpus-half-b
Minimize/Unminimize/
Open Profile Page	最小化/取消最小化/
開啟個人資料頁面	full-corpus-half-b
Enter a valid password.	請輸入有效的密碼。	full-corpus-half-b
Deploying	部署中	full-corpus-half-b
Oscar Watson	奧斯卡·沃森	full-corpus-half-b
Leveled Up	升級	full-corpus-half-b
Irene Preuss	艾琳·普魯斯	full-corpus-half-b
Loading ad…	正在載入廣告…	full-corpus-half-b
Watch Ads	觀看廣告	full-corpus-half-b
There are no news available yet...	目前沒有新聞...	full-corpus-half-b
Paweł Majewski	帕維爾·馬耶夫斯基	full-corpus-half-b
Disabled	已停用	full-corpus-half-b
Receive news and updates from Torpor Games	接收來自 Torpor Games 的新聞與更新	full-corpus-half-b
GAMEPAD CONTROLS	手把操作	full-corpus-half-b
Load Save	載入存檔	full-corpus-half-b
Armored Divisions manufactared by the Rizian Tank Company.

Gets -1 Attack Penalty when attacking mountains	由 里齊亞人 坦克公司製造的裝甲師。

在攻擊山區時會受到 -1 攻擊懲罰	full-corpus-half-b
Trade	貿易	full-corpus-half-b
Chris Wright	Chris Wright	full-corpus-half-b
Load Database	載入資料庫	full-corpus-half-b
Scout	偵察	full-corpus-half-b
INTE FORET SESIONER	INTE FORET SESIONER	full-corpus-half-b
Deselect current unit	取消選擇當前單位	full-corpus-half-b
-	-	full-corpus-half-b
Invalid Profile Name	無效的個人檔案名稱	full-corpus-half-b
INFLUENCE	影響力	full-corpus-half-b
Master Volume	主音量	full-corpus-half-b
The new constitution will allow for the Assembly to override a veto only with a 2/3 (66%) supermajority.	新憲法將允許 議會 僅在獲得 2/3 (66%) 的絕對多數票時才能否決總統的否決權。	full-corpus-half-b
Disables a unit
Inflicts {0} <sprite name="organization"> damage	停用一個單位
造成 {0} <sprite name="organization"> 傷害	full-corpus-half-b
Robert E. Davis	羅伯特·E·戴維斯	full-corpus-half-b
6/8	6/8	full-corpus-half-b
Reset Deployment	重置部署	full-corpus-half-b
Affiliation	隸屬關係	full-corpus-half-b
Andrea Lippi	Andrea Lippi	full-corpus-half-b
Version	版本	full-corpus-half-b
Exit	離開	full-corpus-half-b
Options	選項	full-corpus-half-b
LOAD	載入	full-corpus-half-b
Title	標題	full-corpus-half-b
(CONTRIBUTING MEMBERS)	（貢獻成員）	full-corpus-half-b
Accept	接受	full-corpus-half-b
John Paul Velarde Jose	John Paul Velarde Jose	full-corpus-half-b
Click to Login	點擊登入	full-corpus-half-b
Error	錯誤	full-corpus-half-b
Current	當前	full-corpus-half-b
Character Customization	角色自訂	full-corpus-half-b
Güliz Dülgeroğlu Küpçü	Güliz Dülgeroğlu Küpçü	full-corpus-half-b
Collections	收藏	full-corpus-half-b
SORDISH REFORMISM	索德蘭改良主義	full-corpus-half-b
Select	選擇	full-corpus-half-b
Purchase a ticket to keep access to all stories and to remove ads.	購買門票以保留對所有故事的訪問權限並移除廣告。	full-corpus-half-b
By using this service you agree to the Torpor Games
<link="https://www.torporgames.com/"><color=#D9D6D6><u>Terms of Service</color></u></link> and <link="https://www.torporgames.com/"><color=#D9D6D6><u>Privacy Policy</color></u></link>	使用此服務即表示您同意 Torpor Games 的
<link="https://www.torporgames.com/"><color=#D9D6D6><u>服務條款</color></u></link> 與 <link="https://www.torporgames.com/"><color=#D9D6D6><u>隱私權政策</color></u></link>	full-corpus-half-b
PURCHASE	購買	full-corpus-half-b
3-day ticket	3 天門票	full-corpus-half-b
Previous Token/Panel	上一個標記/面板	full-corpus-half-b
Mohammad Darwazeh	Mohammad Darwazeh	full-corpus-half-b
Lennert Suykerbuyk	Lennert Suykerbuyk	full-corpus-half-b
Suzerain Completed	Suzerain 已完成	full-corpus-half-b
Crazy campaign	瘋狂競選	full-corpus-half-b
Sync Achievements	同步成就	full-corpus-half-b
Anrica	安里卡	full-corpus-half-b
Fighter Planes	戰鬥機	full-corpus-half-b
Select to Deploy	選擇部署	full-corpus-half-b
Create Account	建立帳號	full-corpus-half-b
ReyesEdward	ReyesEdward	full-corpus-half-b
Royal Decrees	皇家法令	full-corpus-half-b
None available.	無可用項目。	full-corpus-half-b
Watch ads to earn Story Points. Use them to advance in the story.	觀看廣告以賺取故事點數。使用點數來推進故事進度。	full-corpus-half-b
No Internet Connection	無網路連線	full-corpus-half-b
Devastator	毀滅者	full-corpus-half-b
Terador	特拉多爾	full-corpus-half-b
Continue	繼續	full-corpus-half-b
Ad Privacy Options	廣告隱私選項	full-corpus-half-b
Marla Fitzsimmons	Marla Fitzsimmons	full-corpus-half-b
Randomize	隨機化	full-corpus-half-b
You have previously signed in with ...	您之前已使用 ... 登入	full-corpus-half-b
History	歷史	full-corpus-half-b
PRESIDENT	總統	full-corpus-half-b
Official Language(S):	官方語言：	full-corpus-half-b
Daily Rewards	每日獎勵	full-corpus-half-b
Sordland	蘇德蘭	full-corpus-half-b
Movement locked!	移動已鎖定！	full-corpus-half-b
Dominic McMillan	Dominic McMillan	full-corpus-half-b
Laurence Marie Gilbertz	Laurence Marie Gilbertz	full-corpus-half-b
Battle Ships	戰艦	full-corpus-half-b
code	代碼	full-corpus-half-b
Profile	個人檔案	full-corpus-half-b
Erik Löfmark	Erik Löfmark	full-corpus-half-b
Ads	廣告	full-corpus-half-b
No tooltips available.	無可用提示。	full-corpus-half-b
Ministry of Community Surveillance	部 社區監控	full-corpus-half-b
Textures	紋理	full-corpus-half-b
Air Strike	空襲	full-corpus-half-b
General Luderin	盧德林將軍	full-corpus-half-b
Feel free to take notes here to help you remember important points throughout the story...
	請隨意在此處做筆記，以幫助您記住整個故事中的重要觀點...
	full-corpus-half-b
70	70	full-corpus-half-b
Reset Showcase	重置展示	full-corpus-half-b
Notes:	筆記：	full-corpus-half-b
To receive your gift, enter your code below.	若要領取您的禮物，請在下方輸入您的代碼。	full-corpus-half-b
Current Story: Rizia	當前故事：里齊亞	full-corpus-half-b
Yannick Hogendoorn	Yannick Hogendoorn	full-corpus-half-b
Manpower	人力	full-corpus-half-b
Dominic K	Dominic K	full-corpus-half-b
Equipment	裝備	full-corpus-half-b
Units	單位	full-corpus-half-b
Rizian Armed Forces	里齊亞武裝部隊	full-corpus-half-b
25h	25小時	full-corpus-half-b
Ministry of Design and
Quality Assurance	部 設計與
品質保證	full-corpus-half-b
Enter command...	輸入指令...	full-corpus-half-b
The criteria for the allocation of public funds shall no longer be according to the number of votes won in the general election by a political party. The new criteria shall be the proportion of seats won by a political party in the Assembly. Political parties shall receive an annual amount of 500.000 ren per Member of Assembly.


(This results in a doubling of the USP election budget and a slight increase in the other parties in the Assembly while effectively removing all funding from parties that are below the 10% election threshold.)	公共資金的分配標準將不再根據政黨在大選中獲得的選票數量而定。新的標準將是政黨在議會中獲得的席位比例。政黨每位議會議員每年將獲得50萬倫的資金。


（這導致團結社會黨的選舉預算翻倍，議會中其他政黨的預算略有增加，同時有效地取消了所有低於10%選舉門檻的政黨的資金。）	full-corpus-half-b
Support Mechanic	支持機制	full-corpus-half-b
25:04:32	25:04:32	full-corpus-half-b
Restore Defaults	恢復預設值	full-corpus-half-b
Ministry of Propaganda and 
Society	部 宣傳與
社會	full-corpus-half-b
Render Scale	渲染比例	full-corpus-half-b
Clear
	清除
	full-corpus-half-b
