source	target	has_mapping	needs_translation
Rizia_HUDStat_Energy		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_category_energy		0	0
RiziaDLC.Resources_Energy		0	0
RiziaDLC.Resources_EnergyModifiersTotal		0	0
RiziaDLC.Rizia_HUDStat_Energy_Min		0	0
RiziaDLC.Rizia_HUDStat_Energy_Max		0	0
Rizia_Energy_Modifier_BaseEnergy		0	0
Rizia_Energy_Modifier_NelvisarOilField		0	0
Rizia_Energy_Modifier_EsqirisGasField		0	0
Rizia_Energy_Modifier_EsqirisGasFieldExpansion		0	0
Rizia_Energy_Modifier_HavasCoalMine		0	0
Rizia_Energy_Modifier_MaveNortusOilfield		0	0
Rizia_Energy_Modifier_AureusGasField		0	0
Rizia_Energy_Modifier_ZpanaHydroelectricDam		0	0
Rizia_Energy_Modifier_LocalRenewables		0	0
Rizia_Energy_Modifier_GenerationCurtailment		0	0
Rizia_Energy_Modifier_IndustrialProduction		0	0
Rizia_Energy_Modifier_ArmyRefuelCosts		0	0
Rizia_Energy_Modifier_AirforceRefuelCosts		0	0
Rizia_Energy_Modifier_NavyRefuelCosts		0	0
Rizia_Energy_Modifier_ANSanctions		0	0
Rizia_Energy_Modifier_EnergySubsidiesForIndustries		0	0
Rizia_Energy_Modifier_FreeElectricity		0	0
Rizia_Energy_Modifier_FreePublicTransportation		0	0
Rizia_Energy_Modifier_FuelSubsidies		0	0
Rizia_Energy_Modifier_HeatingSubsidiesForCitizens		0	0
Rizia_Energy_Modifier_PublicTransitInfraExpansion		0	0
Rizia_Energy_Modifier_ROGStakeSold		0	0
Rizia_Energy_Modifier_RumburgGasExport		0	0
Rizia_Energy_Modifier_SordlandGasomImport		0	0
Rizia_Energy_Modifier_WehlenGasExport		0	0
Rizia_Energy_Modifier_WehlenOilImport		0	0
Rizia_Energy_Modifier_MorellaGasExport		0	0
Rizia_Energy_Modifier_LesPowerImports		0	0
Rizia_Energy_Modifier_GRACEEnergyContribution		0	0
Rizia_Energy_Modifier_DerdiaEnergyExport		0	0
Rizia_Energy_Modifier_IntermerkopumEnergyExports		0	0
Rizia_Energy_Modifier_HeightenedConsumption		0	0
Rizia_Energy_Modifier_StopCheating		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100006A00005C01		0	0
Rizia_HUDStat_Budget		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_category_economy		0	0
RiziaDLC.Resources_Budget		0	0
RiziaDLC.Resources_BudgetModifiersTotal		0	0
RiziaDLC.Rizia_HUDStat_Budget_Min		0	0
RiziaDLC.Rizia_HUDStat_Budget_Max		0	0
Rizia_Budget_Modifier_AdministrativeCosts		0	0
Rizia_Budget_Modifier_ANSanctions		0	0
Rizia_Budget_Modifier_BaseIncomeTax		0	0
Rizia_Budget_Modifier_DerdiaPipeline		0	0
Rizia_Budget_Modifier_DerdiaTrade		0	0
Rizia_Budget_Modifier_EconomicInstability		0	0
Rizia_Budget_Modifier_EqualPay		0	0
Rizia_Budget_Modifier_GRACETrade		0	0
Rizia_Budget_Modifier_IncreasedHealthEducationFunds		0	0
Rizia_Budget_Modifier_TourismIncome		0	0
Rizia_Budget_Modifier_InheritenceTax		0	0
Rizia_Budget_Modifier_IntermerkopumCosts		0	0
Rizia_Budget_Modifier_LaborHandsLegalized		0	0
Rizia_Budget_Modifier_LegalDrugTax		0	0
Rizia_Budget_Modifier_LespiaSanctions		0	0
Rizia_Budget_Modifier_LesPowerImports		0	0
Rizia_Budget_Modifier_MITZRevenues		0	0
Rizia_Budget_Modifier_MorellaPipeline		0	0
Rizia_Budget_Modifier_MorellaTrade		0	0
Rizia_Budget_Modifier_NonWruhecistReligiousTax		0	0
Rizia_Budget_Modifier_PalesPipeline		0	0
Rizia_Budget_Modifier_PalesTrade		0	0
Rizia_Budget_Modifier_PublicTransportSubsidies		0	0
Rizia_Budget_Modifier_QalusGoldMine		0	0
Rizia_Budget_Modifier_RizianGoldIndustry		0	0
Rizia_Budget_Modifier_SordlandGasomProfit		0	0
Rizia_Budget_Modifier_TaxCredits		0	0
Rizia_Budget_Modifier_WarExpenditures		0	0
Rizia_Budget_Modifier_WarProfitsTax		0	0
Rizia_Budget_Modifier_WarReparations		0	0
Rizia_Budget_Modifier_WehlenPipeline		0	0
Rizia_Budget_Modifier_WehlenTrade		0	0
Rizia_Budget_Modifier_WorkRegulationCost		0	0
Rizia_Budget_Modifier_EnergyStorageCosts		0	0
Rizia_Budget_Modifier_EastTradeReduced		0	0
Rizia_Budget_Modifier_MilitaryExpenditures		0	0
Rizia_Budget_Modifier_FreeMedicine		0	0
Rizia_Budget_Modifier_FreePublicTransportation		0	0
Rizia_Budget_Modifier_ForeignGoodsReliance		0	0
Rizia_Budget_Modifier_UniversalBasicIncome		0	0
Rizia_Budget_Modifier_KingsCars		0	0
Rizia_Budget_Modifier_BusinessInflux		0	0
Rizia_Budget_Modifier_WarReparations		0	0
Rizia_Budget_Modifier_PalesReconstruction		0	0
Rizia_Budget_Modifier_ReligiousRevenues		0	0
Rizia_Budget_Modifier_InternalSecurityCosts		0	0
Rizia_Budget_Modifier_RumburgTrade		0	0
Rizia_Budget_Modifier_SordlandTrade		0	0
Rizia_Budget_Modifier_WestTradeReduced		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B00000196		0	0
Rizia_War_HUDStat_BattleShip		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_battleship		0	0
RiziaDLC.Resources_Military_Ships		0	0
RiziaDLC.Resources_Military_ShipsModifiersTotal		0	0
Rizia_Ship_Modifier_Dockyards		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B00000192		0	0
Rizia_War_HUDStat_Truck		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_truck		0	0
RiziaDLC.Resources_Military_Trucks		0	0
RiziaDLC.Resources_Military_TrucksModifiersTotal		0	0
Rizia_SupportVehicle_Modifier_Factory		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B0000018E		0	0
Rizia_War_HUDStat_Tank		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_tank		0	0
RiziaDLC.Resources_Military_Tanks		0	0
RiziaDLC.Resources_Military_TanksModifiersTotal		0	0
Rizia_Tank_Modifier_Factory		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B0000019A		0	0
Rizia_War_HUDStat_Submarine		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_submarine		0	0
RiziaDLC.Resources_Military_Submarines		0	0
RiziaDLC.Resources_Military_SubmarinesModifiersTotal		0	0
Rizia_Submarines_Modifier_Dockyards		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B00000186		0	0
Rizia_War_HUDStat_Manpower		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_connections_cabinet		0	0
RiziaDLC.Resources_Military_Manpower		0	0
RiziaDLC.Resources_Military_ManpowerModifiersTotal		0	0
Rizia_Manpower_Modifier_Recruitment		0	0
Rizia_Manpower_Modifier_GolcondistSignups		0	0
Rizia_Manpower_Modifier_SuOminaSignups		0	0
Rizia_Manpower_Modifier_GRACEVolunteers		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100007B0000018A		0	0
Rizia_War_HUDStat_Equipment		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_rifle		0	0
RiziaDLC.Resources_Military_Equipment		0	0
RiziaDLC.Resources_Military_EquipmentModifiersTotal		0	0
Rizia_Equipment_Modifier_Factory		0	0
Rizia_Equipment_Modifier_WehlenArmsExports		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x010000B4000014D6		0	0
Rizia_War_HUDStat_FighterPlanes		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_airsupport		0	0
RiziaDLC.Resources_Military_FighterPlanes		0	0
RiziaDLC.FighterPlane_Modifier_Factory		0	0
Rizia_Fighter_Modifier_Factory		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x010000B4000014E3		0	0
Rizia_War_HUDStat_BomberPlanes		0	0
Rizia/HUD Panel		0	0
Icons/ui_icon_bomb		0	0
RiziaDLC.Resources_Military_BomberPlanes		0	0
RiziaDLC.BomberPlane_Modifier_Factory		0	0
Rizia_Bomber_Modifier_Factory		0	0
AppBundle_Rizia		0	0
StoryPack_Rizia		0	0
0x0100006A0001BDD1		0	0
Archetype_AntonRayne_Idealist		0	0
Sordland/Archetypes		0	0
AppBundle_Main		0	0
StoryPack_Main		0	0
BaseGame.ArchetypeChoice = 0;
BaseGameUI.Customization_Accessories = 3; BaseGameUI.Customization_Attire = 2; BaseGameUI.Customization_Background = 0; BaseGameUI.Customization_FacialHair = 16; BaseGameUI.Customization_HairStyle = 1;
// The following are currently used in Rizia (others below, for potential later use)
BaseGame.GovernmentBudget = 2;
//Archetypes Politics
BaseGame.Archetype_DemocraticRayne = true;
BaseGame.Archetype_CapitalistRayne = false;
BaseGame.Archetype_ComradeRayne = false;
BaseGame.Archetype_SollistRayne = false;
BaseGame.Malenyevist = 2;
BaseGame.Sollist = 10;
BaseGame.Democratic = 20;
BaseGame.Capitalist = 5;
//Reform or no Reform
BaseGame.Reform_Reformist_Path = true;
BaseGame.Turn08_Reformist_Success = true;
BaseGame.Reform_Dictator_Path = false;
BaseGame.Reform_Autocrat_Path = false;
//Trade Deals (without Gasom)
BaseGame.Policy_Diplomacy_Rumburg_Trade = false;
BaseGame.Situation_Diplomacy_Rumburg_GasPipeline = false;
BaseGame.Policy_Diplomacy_Wehlen_Trade = true;
BaseGame.Valgsland_TradeDeal = false;
//Gasom and Energy Acts
BaseGame.Policy_Economy_EnergyProtectionAct_49Percent = true;
BaseGame.Policy_Economy_EnergyProtectionAct_Removed = false;
BaseGame.Turn03_Admin_EnergyProtectionAct_10Percent = false;
BaseGame.Gasom_RumburgOwnsMajority = false;
BaseGame.Turn03_EnT_Gasom_OnlyRiziaInvestment = false;
BaseGame.Turn03_EnT_Gasom_CoInvestmentRizia = true;
BaseGame.Turn03_EnT_Gasom_LargeSordlandInvestmentAlone = false;
BaseGame.Gasom_Bankrupt = false;
//Alliances
BaseGame.Agnolia_Alliance = true;
BaseGame.Policy_Diplomacy_Agnolia_Alliance = true;
BaseGame.Joined_ATO = false;
BaseGame.Joined_CSP = false;
BaseGame.Policy_Diplomacy_ATO = false;
BaseGame.Policy_Diplomacy_CSP = false;
BaseGame.Policy_Diplomacy_Valgsland_Alliance = false;
BaseGame.Valgsland_Alliance = false;
BaseGame.Lespia_Alliance = false;
//War-related
BaseGame.Rumburg_War = true;
BaseGame.RumburgIncident_DeclareWar = false;
BaseGame.RumburgIncident_Diplomacy = false;
BaseGame.Rumburg_PeaceSummit = false;
BaseGame.Decision_Turn09_RumburgPeaceSummit_StartTalks = false;
BaseGame.Rumburg_GivenEstordAndNarbel = false;
BaseGame.Policy_Diplomacy_EmbargoingRumburg = true;
BaseGame.Turn02_FPnT_Consulate_Retaliate = true;
BaseGame.Ending_WorldWar = false;
BaseGame.Ending_RumburgWarWin = false;
BaseGame.Rumburg_AlliesCalledToWar = true;
BaseGame.Turn10_FPnT_RumburgIsolated = false;
BaseGame.Heljiland_Invasion_Happened = false;
//National Decisions and Events
BaseGame.Situation_Welfare_EpidemicSpreads = false;
BaseGame.Turn09_EnT_GDPMaintained = false;
BaseGame.Turn09_EnT_SordishDepression = false;
BaseGame.Turn09_EnT_SordishRecovery = true;
BaseGame.BlackTuesdayHappened = false;
BaseGame.Decision_Turn08_ExtendEmergency_Extend = false;
BaseGame.Decision_Turn08_ExtendEmergency_DontExtend = true;
BaseGame.Situation_Diplomacy_Energy_PriceSurge = false;
BaseGame.Situation_Diplomacy_Energy_PriceBalanced = true;
BaseGame.Accepted_MediaDeal = false;
BaseGame.Faction_Oligarchs_KorontiLeader = true;
BaseGame.Policy_Order_IncreasedInteriorFunding = true; 
BaseGame.Faction_Oligarchs_Destroyed = false;
BaseGame.Policy_Order_AntiCorruptionPolice = true;
BaseGameIsolated.Turn09_A_TelevisionInterview_International_Empathy_Gained = true;
BaseGame.Turn02_InT_Corporation_TaurusHolding = false;
BaseGame.Decision_Turn06_2ndCompanyChoice_Taurus = false;
BaseGame.Turn02_InT_Corporation_UnderhallConstruction = true;
BaseGame.Decision_Turn06_2ndCompanyChoice_Underhall = false;
//International Decisions and Events
BaseGame.Policy_Diplomacy_Wehlen_DefendBorder = true;
BaseGame.SuperpowerTradeWarHappened = true;
BaseGame.Policy_Diplomacy_Wehlen_JointOperation = false;
BaseGame.Wehlen_JointOperation = false;
BaseGame.Policy_Diplomacy_Valgsland_HeljiIsland_Recognised = false;
BaseGame.Policy_Diplomacy_Agnolia_HeljiIsland_Recognised = true;
//BFF-related
BaseGame.BFF_Damaged = true;
BaseGame.BFF_Destroyed = false;
BaseGame.Situation_Order_BFF_ThreatEliminated = false;
BaseGame.Situation_Order_BFF_ThreatContinues = true;
//Personal and Prologue
BaseGame.Relations_Franc_Opinion = 5;
BaseGame.Relations_Monica_Opinion = 6;
BaseGame.Relations_Marcel_Enemy = true;
BaseGame.Prologue_Party_Takeover_Diplomatic = true;
BaseGame.Prologue_Birthplace_Lachaven_Rich = false;
BaseGame.Prologue_Birthplace_Holsord_Middle = true;
BaseGame.Prologue_Birthplace_Deyr_Poor = false;
BaseGame.Shown_MiddleFinger_ToQueen = false; //always false bc it would facilitate getting the achievement in Rizia without playing the base game

////////// Additional useful variables /////////
//Alliances
BaseGame.Policy_Diplomacy_ANMember = true;
BaseGame.Policy_Diplomacy_Neutrality = false;
BaseGame.Reform_Alliance_PFJP = true;
BaseGame.Decision_Turn05_SPAid_AcceptArcasia = true;
BaseGame.Decision_Turn05_SPAid_AcceptUnitedContana = false;
//Trade Deals (without Gasom)
BaseGame.Policy_Diplomacy_Agnolia_Trade = true;
BaseGame.Lespia_TradeDeal = true;
BaseGame.Bill_Turn08_SpecialZoneCentralization_Signed = true;
BaseGame.Decision_Turn06_GasomStake_Keep = true;
BaseGame.EconomyAction_InternationalLoan = false;
BaseGame.Gasom_AnrakaOwnsMajority = false;
BaseGame.Gasom_BetrayedAnrakaQinalGalmland = false;
BaseGame.Gasom_BetrayedRumburgRizia = false;
//National Decisions and Events
BaseGame.Media_SordlandToday_Bias = false;
BaseGame.Policy_Diplomacy_RelaxedImmigration = true;
BaseGame.Bill_Turn09_StrongWomensRights_Signed = true;
BaseGame.Bill_Turn09_WeakWomensRights_Signed = false;
BaseGame.Bill_Turn04_WorkersRights_Signed = true;
//BFF-related
BaseGame.Situation_Law_BludishReconciliation = false;
BaseGame.Situation_Law_BludishOppression = false;		0	0
0x010000B900000A94		0	0
Archetype_AntonRayne_Populist		0	0
Sordland/Archetypes		0	0
AppBundle_Main		0	0
StoryPack_Main		0	0
BaseGame.ArchetypeChoice = 2;
BaseGameUI.Customization_Accessories = 0; BaseGameUI.Customization_Attire = 1; BaseGameUI.Customization_Background = 5; BaseGameUI.Customization_FacialHair = 12; BaseGameUI.Customization_HairStyle = 5;
// The following are currently used in Rizia (others below, for potential later use)
BaseGame.GovernmentBudget = 2;
//Archetypes Politics
BaseGame.Archetype_DemocraticRayne = false;
BaseGame.Archetype_CapitalistRayne = false;
BaseGame.Archetype_ComradeRayne = true;
BaseGame.Archetype_SollistRayne = false;
BaseGame.Malenyevist = 20;
BaseGame.Sollist = 10;
BaseGame.Democratic = 10;
BaseGame.Capitalist = 5;
//Reform or no Reform
BaseGame.Reform_Reformist_Path = false;
BaseGame.Turn08_Reformist_Success = false;
BaseGame.Reform_Dictator_Path = false;
BaseGame.Reform_Autocrat_Path = true;
//Trade Deals (without Gasom)
BaseGame.Policy_Diplomacy_Rumburg_Trade = false;
BaseGame.Situation_Diplomacy_Rumburg_GasPipeline = false;
BaseGame.Policy_Diplomacy_Wehlen_Trade = true;
BaseGame.Valgsland_TradeDeal = true;
//Gasom and Energy Acts
BaseGame.Policy_Economy_EnergyProtectionAct_49Percent = false;
BaseGame.Policy_Economy_EnergyProtectionAct_Removed = false;
BaseGame.Turn03_Admin_EnergyProtectionAct_10Percent = true;
BaseGame.Gasom_RumburgOwnsMajority = false;
BaseGame.Turn03_EnT_Gasom_OnlyRiziaInvestment = false;
BaseGame.Turn03_EnT_Gasom_CoInvestmentRizia = true;
BaseGame.Turn03_EnT_Gasom_LargeSordlandInvestmentAlone = false;
BaseGame.Gasom_Bankrupt = false;
//Alliances
BaseGame.Agnolia_Alliance = false;
BaseGame.Policy_Diplomacy_Agnolia_Alliance = false;
BaseGame.Joined_ATO = false;
BaseGame.Joined_CSP = true;
BaseGame.Policy_Diplomacy_ATO = false;
BaseGame.Policy_Diplomacy_CSP = true;
BaseGame.Policy_Diplomacy_Valgsland_Alliance = true;
BaseGame.Valgsland_Alliance = true;
BaseGame.Lespia_Alliance = false;
//War-related
BaseGame.Rumburg_War = true;
BaseGame.RumburgIncident_DeclareWar = true;
BaseGame.RumburgIncident_Diplomacy = false;
BaseGame.Rumburg_PeaceSummit = false;
BaseGame.Decision_Turn09_RumburgPeaceSummit_StartTalks = false;
BaseGame.Rumburg_GivenEstordAndNarbel = false;
BaseGame.Policy_Diplomacy_EmbargoingRumburg = true;
BaseGame.Turn02_FPnT_Consulate_Retaliate = true;
BaseGame.Ending_WorldWar = false;
BaseGame.Ending_RumburgWarWin = true;
BaseGame.Rumburg_AlliesCalledToWar = true;
BaseGame.Turn10_FPnT_RumburgIsolated = false;
BaseGame.Heljiland_Invasion_Happened = true;
//National Decisions and Events
BaseGame.Situation_Welfare_EpidemicSpreads = false;
BaseGame.Turn09_EnT_GDPMaintained = false;
BaseGame.Turn09_EnT_SordishDepression = false;
BaseGame.Turn09_EnT_SordishRecovery = true;
BaseGame.BlackTuesdayHappened = true;
BaseGame.Decision_Turn08_ExtendEmergency_Extend = true;
BaseGame.Decision_Turn08_ExtendEmergency_DontExtend = false;
BaseGame.Situation_Diplomacy_Energy_PriceSurge = false;
BaseGame.Situation_Diplomacy_Energy_PriceBalanced = false;
BaseGame.Situation_Diplomacy_Energy_PriceFluctuation = true;
BaseGame.Accepted_MediaDeal = false;
BaseGame.Faction_Oligarchs_KorontiLeader = true;
BaseGame.Policy_Order_IncreasedInteriorFunding = true; 
BaseGame.Faction_Oligarchs_Destroyed = true;
BaseGame.Policy_Order_AntiCorruptionPolice = true;
BaseGameIsolated.Turn09_A_TelevisionInterview_International_Empathy_Gained = false;
BaseGame.Turn02_InT_Corporation_TaurusHolding = false;
BaseGame.Decision_Turn06_2ndCompanyChoice_Taurus = false;
BaseGame.Turn02_InT_Corporation_UnderhallConstruction = true;
BaseGame.Decision_Turn06_2ndCompanyChoice_Underhall = false;
//International Decisions and Events
BaseGame.Policy_Diplomacy_Wehlen_DefendBorder = true;
BaseGame.SuperpowerTradeWarHappened = false;
BaseGame.Policy_Diplomacy_Wehlen_JointOperation = false;
BaseGame.Wehlen_JointOperation = false;
BaseGame.Policy_Diplomacy_Valgsland_HeljiIsland_Recognised = true;
BaseGame.Policy_Diplomacy_Agnolia_HeljiIsland_Recognised = false;
//BFF-related
BaseGame.BFF_Damaged = true;
BaseGame.BFF_Destroyed = false;
BaseGame.Situation_Order_BFF_ThreatEliminated = false;
BaseGame.Situation_Order_BFF_ThreatContinues = true;
//Personal and Prologue
BaseGame.Relations_Franc_Opinion = 5;
BaseGame.Relations_Monica_Opinion = -1;
BaseGame.Relations_Marcel_Enemy = true;
BaseGame.Prologue_Party_Takeover_Diplomatic = false;
BaseGame.Prologue_Birthplace_Lachaven_Rich = false;
BaseGame.Prologue_Birthplace_Holsord_Middle = false;
BaseGame.Prologue_Birthplace_Deyr_Poor = true;
BaseGame.Shown_MiddleFinger_ToQueen = false; //always false bc it would facilitate getting the achievement in Rizia without playing the base game

////////// Additional useful variables /////////
//Alliances
BaseGame.Policy_Diplomacy_ANMember = true;
BaseGame.Policy_Diplomacy_Neutrality = false;
BaseGame.Reform_Alliance_PFJP = false;
BaseGame.Decision_Turn05_SPAid_AcceptArcasia = false;
BaseGame.Decision_Turn05_SPAid_AcceptUnitedContana = true;
//Trade Deals (with Gasom)
BaseGame.Policy_Diplomacy_Agnolia_Trade = true;
BaseGame.Lespia_TradeDeal = false;
BaseGame.Bill_Turn08_SpecialZoneCentralization_Signed = true;
BaseGame.Decision_Turn06_GasomStake_Keep = true;
BaseGame.EconomyAction_InternationalLoan = false;
BaseGame.Gasom_AnrakaOwnsMajority = false;
BaseGame.Gasom_BetrayedAnrakaQinalGalmland = false;
BaseGame.Gasom_BetrayedRumburgRizia = true;
//National Decisions and Events
BaseGame.Media_SordlandToday_Bias = false;
BaseGame.Policy_Diplomacy_RelaxedImmigration = false;
BaseGame.Bill_Turn09_StrongWomensRights_Signed = false;
BaseGame.Bill_Turn09_WeakWomensRights_Signed = true;
BaseGame.Bill_Turn04_WorkersRights_Signed = true;
//BFF-related
BaseGame.Situation_Law_BludishReconciliation = false;
BaseGame.Situation_Law_BludishOppression = true;		0	0
0x010000B900000A9C		0	0
Archetype_AntonRayne_Opportunist		0	0
Sordland/Archetypes		0	0
AppBundle_Main		0	0
StoryPack_Main		0	0
BaseGame.ArchetypeChoice = 1;
BaseGameUI.Customization_Accessories = 0; BaseGameUI.Customization_Attire = 5; BaseGameUI.Customization_Background = 6; BaseGameUI.Customization_FacialHair = 8; BaseGameUI.Customization_HairStyle = 4;
// The following are currently used in Rizia (others below, for potential later use)
BaseGame.GovernmentBudget = 2;
//Archetypes Politics
BaseGame.Archetype_DemocraticRayne = false;
BaseGame.Archetype_CapitalistRayne = true;
BaseGame.Archetype_ComradeRayne = false;
BaseGame.Archetype_SollistRayne = false;
BaseGame.Malenyevist = -1;
BaseGame.Sollist = 5;
BaseGame.Democratic = 5;
BaseGame.Capitalist = 20;
//Reform or no Reform
BaseGame.Reform_Reformist_Path = true;
BaseGame.Turn08_Reformist_Success = false;
BaseGame.Reform_Dictator_Path = false;
BaseGame.Reform_Autocrat_Path = false;
//Trade Deals (without Gasom)
BaseGame.Policy_Diplomacy_Rumburg_Trade = false;
BaseGame.Situation_Diplomacy_Rumburg_GasPipeline = false;
BaseGame.Policy_Diplomacy_Wehlen_Trade = true;
BaseGame.Valgsland_TradeDeal = false;
//Gasom and Energy Acts
BaseGame.Policy_Economy_EnergyProtectionAct_49Percent = false;
BaseGame.Policy_Economy_EnergyProtectionAct_Removed = true;
BaseGame.Turn03_Admin_EnergyProtectionAct_10Percent = false;
BaseGame.Gasom_RumburgOwnsMajority = true;
BaseGame.Turn03_EnT_Gasom_OnlyRiziaInvestment = false;
BaseGame.Turn03_EnT_Gasom_CoInvestmentRizia = true;
BaseGame.Turn03_EnT_Gasom_LargeSordlandInvestmentAlone = false;
BaseGame.Gasom_Bankrupt = false;
//Alliances
BaseGame.Agnolia_Alliance = true;
BaseGame.Policy_Diplomacy_Agnolia_Alliance = true;
BaseGame.Joined_ATO = true;
BaseGame.Joined_CSP = false;
BaseGame.Policy_Diplomacy_ATO = true;
BaseGame.Policy_Diplomacy_CSP = false;
BaseGame.Policy_Diplomacy_Valgsland_Alliance = false;
BaseGame.Valgsland_Alliance = false;
BaseGame.Lespia_Alliance = true;
//War-related
BaseGame.Rumburg_War = false;
BaseGame.RumburgIncident_DeclareWar = false;
BaseGame.RumburgIncident_Diplomacy = true;
BaseGame.Rumburg_PeaceSummit = false;
BaseGame.Decision_Turn09_RumburgPeaceSummit_StartTalks = false;
BaseGame.Rumburg_GivenEstordAndNarbel = false;
BaseGame.Policy_Diplomacy_EmbargoingRumburg = false;
BaseGame.Turn02_FPnT_Consulate_Retaliate = false;
BaseGame.Ending_WorldWar = false;
BaseGame.Ending_RumburgWarWin = false;
BaseGame.Rumburg_AlliesCalledToWar = false;
BaseGame.Turn10_FPnT_RumburgIsolated = false;
BaseGame.Heljiland_Invasion_Happened = false;
//National Decisions and Events
BaseGame.Situation_Welfare_EpidemicSpreads = true;
BaseGame.Turn09_EnT_GDPMaintained = true;
BaseGame.Turn09_EnT_SordishDepression = false;
BaseGame.Turn09_EnT_SordishRecovery = false;
BaseGame.BlackTuesdayHappened = false;
BaseGame.Decision_Turn08_ExtendEmergency_Extend = false;
BaseGame.Decision_Turn08_ExtendEmergency_DontExtend = true;
BaseGame.Situation_Diplomacy_Energy_PriceSurge = true;
BaseGame.Situation_Diplomacy_Energy_PriceBalanced = false;
BaseGame.Accepted_MediaDeal = true;
BaseGame.Faction_Oligarchs_KorontiLeader = true;
BaseGame.Policy_Order_IncreasedInteriorFunding = false; 
BaseGame.Faction_Oligarchs_Destroyed = false;
BaseGame.Policy_Order_AntiCorruptionPolice = false;
